date,high,low,open,close,volume,adjclose,blocks-size,avg-block-size,n-transactions-per-block,n-payments-per-block,n-transactions-total,median-confirmation-time,avg-confirmation-time,total-bitcoins,market-price,market-cap,trade-volume,hash-rate,difficulty,transaction-fees,transaction-fees-usd,fees-usd-per-transaction,cost-per-transaction-percent,cost-per-transaction,n-unique-addresses,n-transactions,n-payments,transactions-per-second,output-volume,mempool-count,mempool-growth,mempool-size,utxo-count,n-transactions-excluding-popular,estimated-transaction-volume,estimated-transaction-volume-usd
2018-11-25,4120.8701171875,3585.06005859375,3880.780029296875,4009.969970703125,6825640000.0,4009.969970703125,,,,3042.031496062992,,,,,,,,41389434.84916742,,,,,1.0002817345146,,410530.0,,386338.0,3.45,,,1482.36666666667,,,,164901.54793394,618633300.615613
2018-11-26,4107.14013671875,3643.919921875,4015.070068359375,3779.1298828125,6476900000.0,3779.1298828125,193137.282487,1.18616418918919,2315.87387387387,3768.054054054054,359769385.0,,,,,,,,,38.27901151,146444.342784033,0.569684911749044,,21.2927731620537,,257062.0,418254.0,3.51666666666667,,2953.0,1444.2,2429922.5,,,,
2018-11-27,3862.9599609375,3661.010009765625,3765.949951171875,3820.719970703125,5998720000.0,3820.719970703125,,,,3219.885496183206,,10.2166666666667,37.0822631551229,,3793.35,63675953212.5,784661844.5325,,6653303141406.0,,,,,,,,421805.0,3.08333333333333,1256470.047218,19526.0,1303.81666666667,13880482.5,,258224.0,,
2018-11-28,4385.89990234375,3822.469970703125,3822.469970703125,4257.419921875,7280280000.0,4257.419921875,,,,3461.186440677966,,,,,,,,40822456.2895898,,,,,0.753828649677934,,454764.0,,408420.0,,,23490.5,,13834310.0,,,198420.8828308,807058144.18961
2018-11-29,4413.0205078125,4145.76513671875,4269.00439453125,4278.8466796875,6503347767.0,4278.8466796875,193540.42918,1.20213011428571,2345.00952380952,3872.933333333333,360548754.0,,,,,,,,,45.07238045,190219.863248574,0.77254174314887,,23.2454158776886,,246226.0,406658.0,2.1,,,762.016666666667,,,,,
2018-11-30,4322.9765625,3942.822021484375,4289.0888671875,4017.2685546875,6048016717.0,4017.2685546875,,,,4036.861386138614,,15.3166666666667,57.9882026786604,,4278.77,,564041239.0394,,6653303141406.0,,,,,,,,407723.0,3.0,1854914.42273533,3911.0,1245.06666666667,3434914.5,,239622.0,,
2018-12-01,4309.37744140625,3969.710693359375,4024.46435546875,4214.671875,5375314093.0,4214.671875,,,,3168.2258064516127,,,,,,68691335687.5,,39499506.31724198,,,,,0.947558204474756,,420225.0,,392860.0,3.08333333333333,,5862.5,1187.1,3062528.0,,,171395.71727545,689975479.91139
2018-12-02,4301.51953125,4110.978515625,4200.7333984375,4139.8779296875,5262697895.0,4139.8779296875,193921.29666,1.00527176315789,1953.27192982456,3016.464912280702,361286427.0,,,,,,,,,23.24535308,95712.92689432,0.429836248194977,,26.8028697996359,,222673.0,343877.0,,,2530.0,,997195.5,,,,
2018-12-03,4155.9794921875,3840.4462890625,4147.32373046875,3894.130859375,5089570994.0,3894.130859375,,,,3432.938596491228,,10.1375,20.192297521297,,4140.6,,314509624.5,,6194015746026.25,,,,,,,,391355.0,1.88333333333333,1487029.07296055,,765.75,,,231011.0,,
2018-12-04,4075.627685546875,3832.75,3886.294921875,3956.893798828125,5028069239.0,3956.893798828125,,,,3195.0289855072465,,,,,,67678610400.0,,37757484.09876072,,,,,0.285423079230248,,492965.0,,440914.0,3.01666666666667,,1067.0,1102.9,509154.0,,,632663.24019797,2465252204.48521
